TESTCASE ID,Tên testcase(Mục đích),Các bước thực hiện ,Kết quả mong muốn,Độ ưu tiên,Kết quả thực tế ,Trạng thái,Ghi chú,Dev,Unnamed: 9
UC_01 Đăng nhập với vai trò Tasker,,,,,,,,,
TC_T01_001,Kiểm tra màn hình đăng nhập của Tasker hiển thị,"1. Mở app Chị Ơi!
2. Màn hình đăng nhập
3. Quan sát màn hình ","Màn hình đăng nhập hiển thị Thông tin
- Nhập Số điện thoại
- Nhập mật khẩu 
- Quên mật khẩu
- Đăng nhập
- Đăng ký tasker 
Tiếp tục đăng nhập với Tk
+ Google
+ Facebook
Hiện thị 
+ Điều khoản 
+ Bảo mật",,,Pass,,,
TC_T01_002,Kiểm tra đăng nhập thành công với tài khoản hợp lệ,"1. Mở app Chị Ơi! 
 2. Chọn tab Tasker 
 3. Nhập SĐT hợp lệ 
 4. Nhập mật khẩu đúng 
 5. Nhấn “Đăng nhập”",Điều hướng vào M16 – Trang chủ Tasker,High,Hệ thống đăng nhập thành công và hiển thị màn hình trang chủ của tasker ,Pass,,,
TC_T01_003,Kiểm tra đăng nhập khi sai mật khẩu,"1. Mở màn hình login 
 2. Chọn tab Tasker 
 3. Nhập SĐT đúng 
 4. Nhập mật khẩu sai 
 5. Nhấn “Đăng nhập”",Hiển thị lỗi “Sai số điện thoại hoặc mật khẩu”,High,"Hệ thống hiển thị lỗi ""Phiên đăng nhập hết hạn. Vui lòng đăng nhập lại""",Fail,,Dev-Completed,
TC_T01_004,Kiểm tra validate khi bỏ trống số điện thoại,"1. Chọn tab Tasker 
 2. Để trống SĐT 
 3. Nhập mật khẩu 
 4. Nhấn “Đăng nhập”",Hiển thị “Vui lòng nhập số điện thoại”,Medium,"Hệ thống hiển thị thông báo "" Vui lòng đăng nhập SDT và mật khẩu"" ",Pass,,,
TC_T01_005,Kiểm tra định dạng số điện thoại không hợp lệ,"1. Nhập SĐT sai format 
 2. Nhập password 
 3. Nhấn “Đăng nhập”",Hệ thống tự chặn khi nhập sai định dạng và Hiển thị “Số điện thoại không hợp lệ”,Medium,"Hệ thống hiển thị thông báo "" Phiên đăng nhập hết hạn. Vui lòng đăng nhập lại"" ",Fail,,Dev-Completed,
TC_T01_006,Kiểm tra validate khi bỏ trống mật khẩu,"1. Nhập SĐT hợp lệ 
 2. Để trống mật khẩu 
 3. Nhấn “Đăng nhập”",Hiển thị “Vui lòng nhập mật khẩu”,Medium,"Hệ thống hiển thị thông báo "" Vui lòng đăng nhập SDT và mật khẩu"" ",Pass,,,
TC_T01_007,Kiểm tra validate khi bỏ trống toàn bộ field,"1. Không nhập dữ liệu 
 2. Nhấn “Đăng nhập”",Hiển thị validate cho cả 2 field,Medium,"Hệ thống hiển thị thông báo "" Vui lòng đăng nhập SDT và mật khẩu"" ",Pass,,,
TC_T01_008,Kiểm tra trim khoảng trắng đầu/cuối số điện thoại,"1. Nhập “ 0901234567 ” 
 2. Nhập password đúng 
 3. Nhấn login",Hệ thống chặn không cho nhập khoảng trắng,Medium,Hệ thống đăng nhập thành công,Fail,,,
TC_T01_009,Kiểm tra password phân biệt hoa thường,"1. Nhập đúng SĐT 
 2. Nhập password sai chữ hoa/thường 
 3. Login",Đăng nhập thất bại,High,,Not Run,,Dev-Completed,
TC_T01_010,Kiểm tra nhập khoảng trắng đầu cuối password,"1. Nhập đúng Số điện thoại
2. Nhập khoảng trắng đầu cuối mật khẩu",Chặn không cho phép nhập,Medium,Hệ thống đang cho phép nhập,Fail,,Dev-Completed,
TC_T01_011,Kiểm tra submit form bằng phím Enter,"1. Nhập đúng thông tin 
 2. Nhấn Enter",Hệ thống thực hiện login,Low,Hệ thống đăng nhập thành công ,Pass,,,
TC_T01_012,Kiểm tra chức năng ẩn/hiện mật khẩu,"1. Nhập password 
 2. Nhấn icon mắt 
 3. Nhấn lại icon mắt",Password hiển thị/ẩn đúng,Low,"Hệ thống hiển thị đúng password, kích chuột để ẩn/ hiển mật khẩu",Pass,,,
TC_T01_013,Kiểm tra link “Quên mật khẩu”,"1. Mở màn hình login 
 2. Nhấn “Quên mật khẩu”",Điều hướng sang M03,High,"Hệ thống hiển thị màn hình ""Quên mật khẩu"" ",Pass,,,
TC_T01_014,Kiểm tra link “Đăng ký Tasker”,"1. Chọn tab Tasker 
 2. Nhấn “Đăng ký Tasker”",Điều hướng sang màn hình đăng ký,Medium,"Hệ thống hiển thị màn hình ""Đăng kí"" ",Pass,,,
TC_T01_015,Kiểm tra login khi mất kết nối mạng,"1. Tắt Internet 
 2. Nhập thông tin hợp lệ 
 3. Nhấn login",Hiển thị “Không có kết nối mạng”,High,"Hệ thống hiển thị thông báo "" failed to fetch""",Fail,,Dev-Completed,
TC_T01_016,Kiểm tra spam nút đăng nhập,"1. Nhập dữ liệu đúng 
 2. Nhấn liên tục nút login",Chỉ gửi 1 request login,Medium,Hệ thống đăng nhập thành công và hiển thị màn hình trang chủ tasker,Pass,,,
TC_T01_017,Kiểm tra lưu session đăng nhập,"1. Login thành công 
 2. Tắt app 
 3. Mở lại app",Người dùng vẫn đăng nhập,High,,Not Run,,Dev-Completed,
TC_T01_018,Kiểm tra giới hạn ký tự mật khẩu,1. Nhập password vượt giới hạn,"Không cho nhập vượt max length "" Nhập tối đa từ 8-20 Ký tự""",Low,Hệ thống không giới hạn các ký tự ,Fail,,Dev-Completed,
TC_T01_019,Kiểm tra tài khoản không tồn tại,"1. Nhập SĐT chưa đăng ký 
 2. Nhập password bất kỳ 
 3. Login",Hiển thị lỗi tài khoản không tồn tại,High,"Hệ thống hiện thị thôg báo ""Phiên đăng nhập hết hạn. Vui lòng đăng nhập lại""",Fail,,Dev-Completed,
TC_T01_020,Kiểm tra đăng nhập nhiều thiết bị,"1. Login trên thiết bị A 
 2. Login trên thiết bị B",Hệ thống xử lý đúng theo business,Medium,,Not Run,,Dev-Completed,
TC_T01_021,Kiểm tra copy/paste vào field password,"1. Copy password 
 2. Paste vào field password",Dữ liệu được nhập đúng,Low,Hệ thống dán đúng pass đã copy,Pass,,,
TC_T01_022,Kiểm tra keyboard mobile hiển thị đúng,1. Focus field SĐT,Hiển thị bàn phím số,Low,,Not Run,,Dev-Completed,đang làm tới đây
TC_T01_023,Kiểm tra bảo mật password,1. Nhập password,Password hiển thị dạng chấm/ẩn,High,,Pass,,,
TC_T01_024,Kiểm tra đăng xuất rồi login lại,"1. Login thành công 
 2. Logout 
 3. Login lại",Login thành công bình thường,Medium,,Pass,,,
TC_T01_025,"Kiểm tra đăng nhập bằng google, facebook,...","Màn hình đăng nhập 
1. Đăng nhập bằng google hoặc facebook
2. Quan sát màn hình ",Hệ thống đăng nhập thành công,High,Hệ thống chưa có dữ liệu,Fail,,,
TC_T01_026,Kiểm tra hệ thống khi nhấn điều khoản ,"Màn hình đăng nhập 
1. Nhấn điều khoản 
2. Quan sát màn hình ",Hệ thống hiển thị điều khoản của app,High,Hệ thống chưa có dữ liệu,Fail,,,
TC_T01_027,Kiểm tra hệ thống khi nhấn bảo mật,"Màn hình đăng nhập 
1. Nhấn bảo mật 
2. Quan sát màn hình  ",,Medium,Hệ thống chưa có dữ liệu,Fail,,,
TC_T01_028,Kiểm tra tài khoản chưa được duyệt,"1. Mở màn hình login 
 2. Chọn tab Tasker 
 3. Nhập tài khoản Pending 
 4. Nhập đúng password 
 5. Nhấn “Đăng nhập”",Hiển thị “Tài khoản đang chờ duyệt”,High,,Not Run,,,
TC_T01_029,Kiểm tra chuyển tab Customer → Tasker,"1. Mở login 
 2. Chọn tab Tasker",Form Tasker hiển thị đúng,Low,,,,,
TC_T01_030,Kiểm tra chống SQL Injection,"1. Nhập ' OR '1'='1 
 2. Nhấn login","Không đăng nhập được, không lỗi server",High,,,,,
TC_T01_031,Kiểm tra chống XSS,"1. Nhập <script>alert('xss')</script> 
 2. Nhấn login",Script không được thực thi,Medium,,,,,
TC_T01_032,Kiểm tra timeout API login,"1. Mô phỏng mạng chậm 
 2. Nhập dữ liệu đúng 
 3. Login",Hiển thị timeout/error phù hợp,Medium,,,,,
UC_02 Đăng ký trở thành Tasker,,,,,,,,,
TC_T02_001,Kiểm tra đăng ký Tasker thành công với dữ liệu hợp lệ,"1. Mở M01 
 2. Nhấn “Đăng ký Tasker” 
 3. Nhập họ tên hợp lệ 
 4. Số điện thoại
 5. Nhập CCCD 12 số hợp lệ 
 6. Mật khẩu
 7. Nhâpj lại 
 8. Đăng ký dịch vụ 
 9 . Gừi hồ sơ đăng ký",Hồ sơ được gửi thành công và hiển thị trạng thái chờ duyệt,High,Hệ thống đăng ký thành công và tasker đang chờ duyệt,Pass,,,
TC_T02_002,Kiểm tra điều hướng từ M01 sang màn hình đăng ký,"1. Mở M01 
 2. Nhấn “Đăng ký Tasker”",Điều hướng đúng sang M02,Medium,,Pass,,,
TC_T02_003,Kiểm tra validate khi bỏ trống họ tên,"1. Để trống họ tên 
 2. Nhập các field khác hợp lệ 
 3. Nhấn “Gửi đăng ký”",Hiển thị “Vui lòng nhập họ tên”,High,"Hệ thống hiển thị thông báo "" Vui lòng nhập đầy đủ thông tin bắt buộc""",Pass,,,
TC_T02_004,Kiểm tra validate khi bỏ trống CCCD,"1. Nhập họ tên 
 2. Để trống CCCD 
 3. Các trường khác nhập hợp lệ
 4. Nhấn gửi",Hiển thị “Vui lòng nhập CCCD”,High,"Hệ thống hiển thị thông báo "" Vui lòng nhập đầy đủ thông tin bắt buộc""",Pass,,,
TC_T02_005,Kiểm tra validate CCCD nhỏ hơn 12 số,"1. Nhập CCCD 10 hoặc 11 số 
 2. Nhấn gửi đăng ký",Hiển thị “CCCD không hợp lệ”,High,Hệ thống đăng ký thành công,Fail,TRƯỜNG ĐKI:  chỉ cho phép nhập SDT và mật khẩu. upload ảnh lên sẽ đọc cứng trường họ tên và CCCD,,
TC_T02_009,Kiểm tra validate khi chưa chọn dịch vụ,"1. Nhập đầy đủ thông tin 
 2. Không chọn dịch vụ 
 3. Nhấn gửi",Hiển thị “Vui lòng chọn ít nhất 1 dịch vụ”,High,Hệ thống đăng ký thành công,Fail,,,
TC_T02_010,Kiểm tra chọn 1 dịch vụ,"1. Chọn “Dọn nhà” 
 2. Gửi đăng ký",Hệ thống lưu đúng dịch vụ đã chọn,Medium,Hệ thống không hiển thị gói đã đăng ký ,Fail,,,
TC_T02_011,Kiểm tra chọn nhiều dịch vụ,"1. Chọn nhiều dịch vụ 
 2. Gửi đăng ký",Hệ thống lưu đầy đủ các dịch vụ,Medium,,,,,
TC_T02_012,Kiểm tra upload ảnh selfie + CCCD hợp lệ,"1. Nhấn icon camera 
 2. Upload ảnh rõ nét đúng định dạng",Ảnh upload thành công,High,,,,,
TC_T02_013,Kiểm tra upload ảnh sai định dạng,"1. Upload file .exe/.txt 
 2. Nhấn gửi",Hiển thị lỗi định dạng file,High,,,,,
TC_T02_014,Kiểm tra upload ảnh quá dung lượng,1. Upload ảnh vượt giới hạn size,Hiển thị lỗi dung lượng ảnh,Medium,,,,,
TC_T02_015,Kiểm tra upload ảnh mờ/không nhận diện được CCCD,"1. Upload ảnh bị mờ 
 2. Nhấn gửi",Hiển thị “Ảnh không đủ điều kiện”,High,,,,,
