TESTCASE ID,Tên Test Case,Các bước thực hiện,Kết quả mong đợi,Độ ưu tiên,Kết quả thực tế,Trạng thái,Note,Dev
UC-REG-01,Đăng ký thành công với dữ liệu hợp lệ,"1. Mở màn hình Đăng ký
2. Nhập Họ tên hợp lệ
3. Nhập SĐT hợp lệ
4. Nhập mật khẩu hợp lệ
5. Nhập xác nhận mật khẩu trùng
6. Nhấn Đăng ký",Tạo tài khoản thành công,High,,PASS,,
UC-REG-02,Đăng ký với họ tên tiếng Việt có dấu,"Nhập ""Nguyễn Văn A"" và các thông tin hợp lệ",Hệ thống chấp nhận,High,,PASS,,
UC-REG-03,Đăng ký với họ tên có khoảng trắng giữa tên,"Nhập ""Nguyễn Văn Minh""",Hệ thống lưu đúng,Medium,,PASS,,
UC-REG-04,Hiển thị/ẩn mật khẩu,Nhập mật khẩu → nhấn icon mắt,Chuyển đổi trạng thái ẩn/hiện,Medium,,PASS,,
UC-REG-05,Hiển thị/ẩn xác nhận mật khẩu,Nhấn icon mắt tại trường xác nhận,Trường hiển thị đúng,Medium,,PASS,,
UC-REG-06,Chuyển sang màn hình đăng nhập,"Nhấn ""Đăng nhập""",Điều hướng đúng màn hình,High,,PASS,,
UC-REG-07,Mở điều khoản sử dụng,"Nhấn ""Điều khoản""",Mở trang điều khoản,Medium,Vẫn ở màn hình Đăng nhập ,FAIL,,
UC-REG-08,Mở chính sách bảo mật,"Nhấn ""Chính sách bảo mật""",Mở đúng trang,Medium,Vẫn ở màn hình Đăng nhập ,FAIL,,
UC-REG-09,Bỏ trống toàn bộ trường,Không nhập dữ liệu → nhấn Đăng ký,Hiển thị thông báo Vui lòng nhập đầy đủ thông tin ,High,,PASS,,
UC-REG-10,Bỏ trống Họ tên,Không nhập Họ tên,Hiển thị thông báo Vui lòng nhập đầy đủ thông tin ,High,,PASS,,
UC-REG-11,Bỏ trống SĐT,Không nhập SĐT,Hiển thị thông báo Vui lòng nhập đầy đủ thông tin ,High,,PASS,,
UC-REG-12,Bỏ trống Mật khẩu,Không nhập mật khẩu,Hiển thị thông báo Vui lòng nhập đầy đủ thông tin ,High,,PASS,,
UC-REG-13,Bỏ trống Xác nhận mật khẩu,Không nhập xác nhận,Hiển thị thông báo Vui lòng nhập đầy đủ thông tin ,High,,PASS,,
UC-REG-14,Họ tên chỉ chứa khoảng trắng,"Nhập "" """,Hiển thị thông báo Vui lòng nhập đầy đủ thông tin ,High,,PASS,,
UC-REG-15,Họ tên chỉ chứa số,"Nhập ""123456""",Chặn luôn định dạng số ở trường Họ tên ,Medium,Vẫn hiển thị số ở trường Họ tên ,FAIL,,
UC-REG-16,Họ tên chứa ký tự đặc biệt,"Nhập ""@@@###""",Chặn luôn định dạng đặc biệt ở trường Họ tên ,Medium,Vẫn hiển thị số ở trường Họ tên ,FAIL,,
UC-REG-17,Họ tên quá ngắn,"Nhập ""A""",Báo lỗi độ dài,Medium,,,,
UC-REG-18,Họ tên vượt ký tự tối đa,Nhập >255 ký tự,Hiển thị lỗi,Medium,,,,
UC-REG-19,SĐT ít hơn quy định,"Nhập ""12345""",Hiển thị lỗi sai định dạng ,High,Vẫn đăng ký thành công ,FAIL,,
UC-REG-20,SĐT dài hơn quy định,"Nhập ""12345678912345""",Hiển thị lỗi sai định dạng ,High,Vẫn đăng ký thành công ,FAIL,,
UC-REG-21,SĐT chứa chữ,"Nhập ""098abc123""",Chặn luôn ký tự chữ ,High,Vẫn nhập chữ được bình thường ,FAIL,,
UC-REG-22,SĐT chứa ký tự đặc biệt,"Nhập ""098@#123""",Chặn luôn ký tự đặc biệt ,High,Vẫn nhập được bình thường ,FAIL,,
UC-REG-23,SĐT có khoảng trắng đầu/cuối,"Nhập "" 0987654321 """,Chặn luôn khoảng trắng đầu cuối ,Medium,Vẫn nhập được bình thường ,FAIL,,
UC-REG-24,Đăng ký bằng SĐT đã tồn tại,Dùng số đã đăng ký,"Hiển thị ""SĐT đã tồn tại""",High,"Hiển thị thông báo Phone number already exists

",FAIL,,
UC-REG-25,Mật khẩu<8 ký tự ,Nhập mật khẩu 6 ký tự ,Hiển thị lỗi,High,Vẫn nhập được mật khẩu ,FAIL,Mật khẩu từ 8-20,
UC-REG-26,Mật khẩu không đúng format,Chỉ nhập chữ thường,Báo lỗi ,High,Vẫn nhập được binh thường và đăng ký thành công ,FAIL,,
UC-REG-27,Mật khẩu không có ký tự đặc biệt,Nhập Abc12345,Hiển thị lỗi,Medium,Vẫn nhập được binh thường và đăng ký thành công ,FAIL,,
UC-REG-28,Mật khẩu vượt giới hạn 20 ký tự,Nhập 21 ký tự ,Hiển thị lỗi,Medium,Vẫn nhập được mật khẩu ,FAIL,,
UC-REG-29,Xác nhận mật khẩu không trùng,Nhập khác mật khẩu,"Hiển thị ""Mật khẩu không khớp""",High,,PASS,,
UC-REG-30,Copy/Paste mật khẩu,Copy và paste,Hoạt động bình thường,Low,,PASS,,
UC-REG-32,Đăng ký khi mất mạng,Tắt internet rồi submit,Hiển thị lỗi kết nối,High,,PASS,,
UC-REG-34,Refresh khi nhập dở,Nhập dữ liệu → refresh,Hệ thống quay lại màn đăng ký và không lưu dữ liệu ,Low,,PASS,,
UC-REG-35,Nhập emoji vào họ tên,Nhập 😀 Nguyễn Văn A,Chỉ được nhập ký tự chữ ,Medium,,Not run,,
UC-REG-38,Paste chuỗi cực dài,Dán >1000 ký tự,Không crash,Medium,,PASS,,
UC-REG-39,Điều hướng bằng Tab,Dùng phím Tab,Focus đúng thứ tự,Medium,,PASS,,
UC-REG-40,Kiểm tra màn hình nhỏ,Test trên mobile nhỏ,Không vỡ UI,Medium,,Not run,,
UC-REG-41,Test đa trình duyệt,"Chrome, Edge, Firefox",Hiển thị đúng,Medium,,Not run,,
UC-REG-43,Kiểm tra footer,Quan sát cuối trang,Hiển thị đúng nội dung,Low,,PASS,,
UC-REG-44,Submit khi dữ liệu chưa hợp lệ,Điền thiếu dữ liệu,Hiển thị thông báo lỗi ,Medium,,PASS,,
UC-REG-45,Server phản hồi chậm,Giả lập mạng yếu,Không treo ứng dụng,Medium,,Not run,,
UC-REG-46,Kiểm tra bố cục layout ,"1. Tại màn hình Đăng ký 
2. Kiểm tra toàn bộ bố cục ","Màn hình hiển thị bố cục rõ ràng, không xô lệch ",Medium,Bố cục màn hình bị xô lệch ,FAIL,,
UC-KH-01 — Đăng nhập hệ thống,,,,,,,,
TC-KH01-001,Đăng nhập thành công với tài khoản hợp lệ,"1. Mở ứng dụng Chị Ơi! 
2. Chọn tab “Cư dân” 
3. Nhập số điện thoại đã đăng ký hợp lệ 
4. Nhập đúng mật khẩu 
5. Nhấn nút “Đăng nhập”",Hệ thống xác thực thành công và chuyển sang Trang chủ M04,High,,PASS,,
TC-KH01-002,Đăng nhập sai mật khẩu,"1. Mở ứng dụng 
2. Chọn tab “Cư dân” 
3. Nhập số điện thoại hợp lệ 
4. Nhập sai mật khẩu 
5. Nhấn “Đăng nhập”","Hiển thị thông báo “Sai mật khẩu” hoặc thông báo tương ứng, không cho đăng nhập",High,"Hiển thị thông báo"" phiên đăng nhập hết hạn""",FAIL,,
TC-KH01-003,Đăng nhập với số điện thoại chưa đăng ký,"1. Mở ứng dụng 
2. Chọn tab “Cư dân” 
3. Nhập số điện thoại chưa tồn tại trong hệ thống 
4. Nhập mật khẩu bất kỳ 
5. Nhấn “Đăng nhập”",Hiển thị thông báo tài khoản không tồn tại,High,"Hiển thị thông báo"" phiên đăng nhập hết hạn""",FAIL,,
TC-KH01-004,Để trống số điện thoại khi đăng nhập,"1. Mở ứng dụng 
2. Chọn tab “Cư dân” 
3. Để trống trường số điện thoại 
4. Nhập mật khẩu hợp lệ 
5. Nhấn “Đăng nhập”",Hiển thị validate yêu cầu nhập số điện thoại,High,,PASS,,
TC-KH01-005,Để trống mật khẩu khi đăng nhập,"1. Mở ứng dụng 
2. Chọn tab “Cư dân” 
3. Nhập số điện thoại hợp lệ 
4. Để trống mật khẩu 
5. Nhấn “Đăng nhập”",Hiển thị validate yêu cầu nhập mật khẩu,High,,PASS,,
TC-KH01-006,Để trống cả số điện thoại và mật khẩu,"1. Mở ứng dụng 
2. Chọn tab “Cư dân” 
3. Không nhập dữ liệu 
4. Nhấn “Đăng nhập”",Hiển thị validate cho cả hai trường bắt buộc,Medium,,PASS,,
TC-KH01-007,Kiểm tra định dạng số điện thoại không hợp lệ,"1. Mở ứng dụng 
2. Chọn tab “Cư dân” 
3. Nhập số điện thoại chứa chữ cái/ký tự đặc biệt 
4. Nhập mật khẩu bất kỳ 
5. Nhấn “Đăng nhập”",Hệ thống hiển thị lỗi định dạng số điện thoại không hợp lệ ngay khi nhập ký tự không hợp lệ ,High,"Ngay khi nhập ký tự lạ không hiển thị thông báo. Khi click vào Đăng nhập hiển thị thông báo ""phiên đăng nhập hết hạn""",FAIL,,
TC-KH01-008,Kiểm tra số điện thoại ít hơn quy định,"1. Nhập số điện thoại dưới số ký tự cho phép 
2. Nhập mật khẩu 
3. Nhấn “Đăng nhập”",Hệ thống hiển thị lỗi độ dài số điện thoại không hợp lệ,Medium,"Ngay khi nhập ít hơn không hiển thị thông báo. Khi click vào Đăng nhập hiển thị thông báo ""phiên đăng nhập hết hạn""",FAIL,,
TC-KH01-009,Kiểm tra số điện thoại vượt quá độ dài quy định,"1. Nhập số điện thoại vượt số ký tự cho phép 
2. Nhập mật khẩu 
3. Nhấn “Đăng nhập”",Hệ thống hiển thị lỗi độ dài số điện thoại không hợp lệ,Medium,"Ngay khi nhập dài hơn không hiển thị thông báo. Khi click vào Đăng nhập hiển thị thông báo ""phiên đăng nhập hết hạn""",FAIL,,
