TESTCASE ID,Tên testcase(Mục đích),Các bước thực hiện ,Kết quả mong muốn,Độ ưu tiên,Kết quả thực tế ,Trạng thái,Ghi chú,Dev
UC_01 Xem bảng điều khiển tổng quan,,,,,,,,
TC-AD01-001,Kiểm tra Admin truy cập Dashboard thành công,"1. Mở hệ thống 
2. Đăng nhập bằng tài khoản Admin hợp lệ 
3. Truy cập trang admin.php",Dashboard hiển thị thành công với đầy đủ dữ liệu tổng quan,High,,Fail,chưa hiện biểu đồ,
TC-AD01-002,Kiểm tra hiển thị thẻ “Đơn hôm nay”,"1. Đăng nhập Admin 
2. Quan sát thẻ “Đơn hôm nay”",Hiển thị đúng số lượng đơn trong ngày và trạng thái tăng/giảm so với hôm qua,High,,Fail,không có thẻ này,
TC-AD01-003,Kiểm tra hiển thị thẻ “Doanh thu”,"1. Đăng nhập Admin
 2. Quan sát thẻ “Doanh thu”",Hiển thị đúng tổng doanh thu và phí hệ thống 15%,High,,Fail,không có thẻ này,
TC-AD01-004,Kiểm tra hiển thị thẻ “Đang xử lý”,"1. Đăng nhập Admin 
2. Quan sát thẻ “Đang xử lý”",Hiển thị đúng số đơn đang xử lý và số đơn cần chú ý,High,,Fail,không có thẻ này,
TC-AD01-005,Kiểm tra hiển thị thẻ “Khiếu nại”,"1. Đăng nhập Admin 
2. Quan sát thẻ “Khiếu nại”",Hiển thị đúng số khiếu nại chưa giải quyết,High,,Fail,chưa có dữ liệu để test ,
TC-AD01-006,Kiểm tra danh sách đơn gần đây hiển thị,"1. Đăng nhập Admin 
2. Cuộn xuống khu vực danh sách đơn gần đây",Danh sách đơn gần đây hiển thị đầy đủ thông tin đơn hàng,High,,Pass,,
TC-AD01-007,Kiểm tra chuyển tab quản lý,"1. Đăng nhập Admin 
2. Nhấn lần lượt vào các tab quản lý",Hệ thống chuyển đúng tab tương ứng và dữ liệu hiển thị chính xác,High,,Pass,,
TC-AD01-008,Kiểm tra dữ liệu Dashboard tự động tải khi vào trang,"1. Đăng nhập Admin 
2. Quan sát khi trang vừa mở",Dashboard tự động tải dữ liệu mà không cần refresh,Medium,,Fail,chưa hiện biểu đồ,
TC-AD01-009,Kiểm tra refresh Dashboard,"1. Đăng nhập Admin 
2. Nhấn refresh trình duyệt",Dashboard tải lại thành công và dữ liệu cập nhật,Medium,,Pass,,
TC-AD01-010,Kiểm tra phân quyền người dùng thường,"1. Đăng nhập bằng tài khoản User 
2. Truy cập admin.php",Hệ thống từ chối truy cập hoặc chuyển về trang không có quyền,High,,,,
TC-AD01-011,Kiểm tra truy cập Dashboard khi chưa đăng nhập,1. Mở trực tiếp URL admin.php khi chưa đăng nhập,Hệ thống chuyển hướng tới trang đăng nhập,High,,,,
TC-AD01-012,Kiểm tra phiên đăng nhập hết hạn,"1. Đăng nhập Admin 
2. Chờ session hết hạn 
3. Thao tác trên Dashboard",Hệ thống yêu cầu đăng nhập lại,High,,,,
